
 Calculating Transition Dipole Moments

    A(vi)   A(vj)      |<vi|μ|vj>|^2
     0       0     0.00000000
     0       1     0.00129491
     0       2     0.00000000
     0       3     0.00108213
     0       4     0.00000000
     0       5     0.00688834
     0       6     0.00000000
     0       7     0.01732113
     0       8     0.00000000
     0       9     0.03231778
     0      10     0.00000000
     0      11     0.05322254
     0      12     0.00000000
     0      13     0.07202632
     0      14     0.00000000
     0      15     0.05342140
     0      16     0.00000000
     0      17     0.00809968
     0      18     0.00000000
     0      19     0.00131662
     0      20     0.00000000
     0      21     0.00541765
     0      22     0.00000000
     0      23     0.00412174
     0      24     0.00000000
     0      25     0.00210373
     0      26     0.00000000
     0      27     0.00090112
     0      28     0.00000000
     0      29     0.00034060
     0      30     0.00000000
 ------------------------------
     1       0     0.00129491
     1       1     0.00000000
     1       2     0.50675094
     1       3     0.00000000
     1       4     0.21230744
     1       5     0.00000000
     1       6     0.00073840
     1       7     0.00000000
     1       8     0.00198796
     1       9     0.00000000
     1      10     0.00159780
     1      11     0.00000000
     1      12     0.00123781
     1      13     0.00000000
     1      14     0.00105423
     1      15     0.00000000
     1      16     0.00088118
     1      17     0.00000000
     1      18     0.00057202
     1      19     0.00000000
     1      20     0.00025661
     1      21     0.00000000
     1      22     0.00007957
     1      23     0.00000000
     1      24     0.00001579
     1      25     0.00000000
     1      26     0.00000150
     1      27     0.00000000
     1      28     0.00000001
     1      29     0.00000000
     1      30     0.00000005
 ------------------------------
     2       0     0.00000000
     2       1     0.50675094
     2       2     0.00000000
     2       3     0.10633077
     2       4     0.00000000
     2       5     0.00236919
     2       6     0.00000000
     2       7     0.00307604
     2       8     0.00000000
     2       9     0.00960236
     2      10     0.00000000
     2      11     0.02333029
     2      12     0.00000000
     2      13     0.04243805
     2      14     0.00000000
     2      15     0.04390311
     2      16     0.00000000
     2      17     0.01471591
     2      18     0.00000000
     2      19     0.00028190
     2      20     0.00000000
     2      21     0.00091177
     2      22     0.00000000
     2      23     0.00134631
     2      24     0.00000000
     2      25     0.00091560
     2      26     0.00000000
     2      27     0.00047527
     2      28     0.00000000
     2      29     0.00020894
     2      30     0.00000000
 ------------------------------
     3       0     0.00108213
     3       1     0.00000000
     3       2     0.10633077
     3       3     0.00000000
     3       4     2.65691379
     3       5     0.00000000
     3       6     0.52104970
     3       7     0.00000000
     3       8     0.00270832
     3       9     0.00000000
     3      10     0.00026504
     3      11     0.00000000
     3      12     0.00101579
     3      13     0.00000000
     3      14     0.00133900
     3      15     0.00000000
     3      16     0.00139330
     3      17     0.00000000
     3      18     0.00110112
     3      19     0.00000000
     3      20     0.00062845
     3      21     0.00000000
     3      22     0.00027229
     3      23     0.00000000
     3      24     0.00009438
     3      25     0.00000000
     3      26     0.00002890
     3      27     0.00000000
     3      28     0.00001005
     3      29     0.00000000
     3      30     0.00000431
 ------------------------------
     4       0     0.00000000
     4       1     0.21230744
     4       2     0.00000000
     4       3     2.65691379
     4       4     0.00000000
     4       5     0.36523237
     4       6     0.00000000
     4       7     0.01330819
     4       8     0.00000000
     4       9     0.00818920
     4      10     0.00000000
     4      11     0.01666300
     4      12     0.00000000
     4      13     0.03525051
     4      14     0.00000000
     4      15     0.04638076
     4      16     0.00000000
     4      17     0.02374450
     4      18     0.00000000
     4      19     0.00303828
     4      20     0.00000000
     4      21     0.00000563
     4      22     0.00000000
     4      23     0.00040955
     4      24     0.00000000
     4      25     0.00046059
     4      26     0.00000000
     4      27     0.00030374
     4      28     0.00000000
     4      29     0.00015361
     4      30     0.00000000
 ------------------------------
     5       0     0.00688834
     5       1     0.00000000
     5       2     0.00236919
     5       3     0.00000000
     5       4     0.36523237
     5       5     0.00000000
     5       6     5.31524228
     5       7     0.00000000
     5       8     0.75517109
     5       9     0.00000000
     5      10     0.01118264
     5      11     0.00000000
     5      12     0.00007843
     5      13     0.00000000
     5      14     0.00041907
     5      15     0.00000000
     5      16     0.00104127
     5      17     0.00000000
     5      18     0.00119088
     5      19     0.00000000
     5      20     0.00088730
     5      21     0.00000000
     5      22     0.00049727
     5      23     0.00000000
     5      24     0.00023216
     5      25     0.00000000
     5      26     0.00010262
     5      27     0.00000000
     5      28     0.00005154
     5      29     0.00000000
     5      30     0.00002976
 ------------------------------
     6       0     0.00000000
     6       1     0.00073840
     6       2     0.00000000
     6       3     0.52104970
