  Vibrational level      0
  Energy           2180.59 cm-1
 --------------------------------
     0     0.98924
     1     0.13967
     2     0.01483
     3     0.03927
     4     0.01109
     5     0.00176
     6     0.00344
     7     0.00126
     8     0.00024
     9     0.00030
 ------------------------------------------------

  Vibrational level      1
  Energy           6346.02 cm-1
 --------------------------------
     0    -0.13875
     1     0.90896
     2     0.36649
     3     0.09387
     4     0.09194
     5     0.04943
     6     0.01723
     7     0.01257
     8     0.00740
     9     0.00212
 ------------------------------------------------

  Vibrational level      2
  Energy          10285.24 cm-1
 --------------------------------
     0     0.01573
     1    -0.36329
     2     0.67401
     3     0.55453
     4     0.23280
     5     0.17658
     6     0.12337
     7     0.06062
     8     0.03713
     9     0.01816
 ------------------------------------------------

