 point     x(Å)      W
           0   2.4993528539413328        2.9082547001311962E-021
           1   2.3136513836875974        2.8103336027508666E-017
           2   2.1586670050905616        2.8786070805486891E-014
           3   2.0192811236663930        8.1061862974629778E-012
           4   1.8897210465252019        9.1785804243784915E-010
           5   1.7670036007559025        5.1085224507758866E-008
           6   1.6493270480232434        1.5790948873247055E-006
           7   1.5354900386571646        2.9387252289229918E-005
           8   1.4246329303902650        3.4831012431868485E-004
           9   1.3161059066397287        2.7379224730671829E-003
          10   1.2093948348965031        1.4703829704826598E-002
          11   1.1040762642734909        5.5144176870234235E-002
          12  0.99978825934705318       0.14673584754088995     
          13  0.89621029080448089       0.28013093083921276     
          14  0.79304844270224351       0.38639488954181395     
          15  0.69002370124739243       0.38639488954181395     
          16  0.58686185314515504       0.28013093083921276     
          17  0.48328388460258265       0.14673584754088995     
          18  0.37899587967614484        5.5144176870234235E-002
          19  0.27367730905313264        1.4703829704826598E-002
          20  0.16696623730990712        2.7379224730671829E-003
          21   5.8439213559370887E-002   3.4831012431868485E-004
          22  -5.2417894707528646E-002   2.9387252289229918E-005
          23 -0.16625490407360749        1.5790948873247055E-006
          24 -0.28393145680626675        5.1085224507758866E-008
          25 -0.40664890257556607        9.1785804243784915E-010
          26 -0.53620897971675718        8.1061862974629778E-012
          27 -0.67559486114092582        2.8786070805486891E-014
          28 -0.83057923973796155        2.8103336027508666E-017
          29  -1.0162807099916968        2.9082547001311962E-021
