 point     x(Å)      W
     0    2.4993528539413328     2.908254700131196E-21
     1    2.3136513836875974     2.810333602750867E-17
     2    2.1586670050905616     2.878607080548689E-14
     3    2.0192811236663930     8.106186297462978E-12
     4    1.8897210465252019     9.178580424378492E-10
     5    1.7670036007559025     5.108522450775887E-08
     6    1.6493270480232434     1.579094887324705E-06
     7    1.5354900386571646     2.938725228922992E-05
     8    1.4246329303902650     3.483101243186849E-04
     9    1.3161059066397287     2.737922473067183E-03
    10    1.2093948348965031     1.470382970482660E-02
    11    1.1040762642734909     5.514417687023423E-02
    12    0.9997882593470532     1.467358475408899E-01
    13    0.8962102908044809     2.801309308392128E-01
    14    0.7930484427022435     3.863948895418139E-01
    15    0.6900237012473924     3.863948895418139E-01
    16    0.5868618531451550     2.801309308392128E-01
    17    0.4832838846025826     1.467358475408899E-01
    18    0.3789958796761448     5.514417687023423E-02
    19    0.2736773090531326     1.470382970482660E-02
    20    0.1669662373099071     2.737922473067183E-03
    21    0.0584392135593709     3.483101243186849E-04
    22   -0.0524178947075286     2.938725228922992E-05
    23   -0.1662549040736075     1.579094887324705E-06
    24   -0.2839314568062667     5.108522450775887E-08
    25   -0.4066489025755661     9.178580424378492E-10
    26   -0.5362089797167572     8.106186297462978E-12
    27   -0.6755948611409258     2.878607080548689E-14
    28   -0.8305792397379615     2.810333602750867E-17
    29   -1.0162807099916968     2.908254700131196E-21
